Rank,Name,Revenue,Expenses ,Profit,Tech,Source
1,Walmart,"$572,754 ","$559,081 ","$13,673 ",No,
2,Amazon,"$469,822 ","$436,458 ","$33,364 ",Yes,"https://www.investopedia.com/news/consumer-stocks-bump-techs-investors-favorite-sector/#:~:text=While%20often%20treated%20as%20a,core%20business%20in%20online%20retailing."
3,Apple,"$365,817 ","$271,137 ","$94,680 ",Yes,
4,CVS Health,"$292,111 ","$284,201 ","$7,910 ",No,
5,UnitedHealth Group,"$287,597 ","$270,312 ","$17,285 ",No,
6,Exxon Mobil,"$285,640 ","$262,600 ","$23,040 ",No,
7,Berkshire Hathaway,"$276,094 ","$186,299 ","$89,795 ",No,
8,Alphabet,"$257,637 ","$181,604 ","$76,033 ",Yes,https://www.forbes.com/companies/alphabet/
9,McKesson,"$238,228 ","$242,767 ","($4,539)",Yes,Healthcare Technology
10,AmerisourceBergen,"$213,988.80 ","$212,449 ","$1,539.90 ",No,
11,Costco Wholesale,"$195,929 ","$190,922 ","$5,007 ",No,
12,Cigna,"$174,078 ","$168,713 ","$5,365 ",No,
13,AT&T,"$168,864 ","$148,783 ","$20,081 ",Yes,"https://medium.com/bsg-sms/what-is-the-difference-between-it-and-telecommunications-c5d250436b3a#:~:text=Telecommunication%20technologies%20or%20Information%20and,%2C%20satellite%20communication%2C%20etc)."
14,Microsoft,"$168,088 ","$106,817 ","$61,271 ",Yes,
15,Cardinal Health,"$162,467 ","$161,856 ",$611 ,No,
16,Chevron,"$162,465 ","$146,840 ","$15,625 ",No,
17,Home Depot,"$151,157 ","$134,724 ","$16,433 ",No,
18,Walgreens Boots Alliance,"$148,579 ","$146,037 ","$2,542 ",No,
19,Marathon Petroleum,"$141,032 ","$131,294 ","$9,738 ",No,
20,Anthem,"$138,639 ","$132,535 ","$6,104 ",No,
21,Kroger,"$137,888 ","$136,233 ","$1,655 ",No,
22,Ford Motor,"$136,341 ","$118,404 ","$17,937 ",No,
23,Verizon Communications,"$133,613 ","$111,548 ","$22,065 ",Yes,
24,JPMorgan Chase,"$127,202 ","$78,868 ","$48,334 ",No,
25,General Motors,"$127,004 ","$116,985 ","$10,019 ",No,
26,Centene,"$125,982 ","$124,635 ","$1,347 ",No,https://www.centene.com/
27,Meta Platforms,"$117,929 ","$78,559 ","$39,370 ",Yes,
28,Comcast,"$116,385 ","$102,226 ","$14,159 ",Yes,"https://medium.com/bsg-sms/what-is-the-difference-between-it-and-telecommunications-c5d250436b3a#:~:text=Telecommunication%20technologies%20or%20Information%20and,%2C%20satellite%20communication%2C%20etc)."
29,Phillips 66,"$114,852 ","$113,535 ","$1,317 ",No,
30,Valero Energy,"$108,332 ","$107,402 ",$930 ,No,
31,Dell Technologies,"$106,995 ","$101,432 ","$5,563 ",Yes,
32,Target,"$106,005 ","$99,059 ","$6,946 ",No,
33,Fannie Mae,"$101,543 ","$79,367 ","$22,176 ",No,
34,UPS,"$97,287 ","$84,397 ","$12,890 ",No,
35,Lowe's,"$96,250 ","$87,808 ","$8,442 ",No,
36,Bank of America,"$93,851 ","$61,873 ","$31,978 ",No,
37,Johnson & Johnson,"$93,775 ","$72,897 ","$20,878 ",No,
38,Archer Daniels Midland,"$85,249 ","$82,540 ","$2,709 ",No,
39,FedEx,"$83,959 ","$78,728 ","$5,231 ",No,
40,Humana,"$83,064 ","$80,131 ","$2,933 ",No,
41,Wells Fargo,"$82,407 ","$60,859 ","$21,548 ",No,
42,State Farm Insurance,"$82,224.70 ","$80,944 ","$1,280.90 ",No,
43,Pfizer,"$81,288 ","$59,309 ","$21,979 ",No,
44,Citigroup,"$79,865 ","$57,913 ","$21,952 ",No,
45,PepsiCo,"$79,474 ","$71,856 ","$7,618 ",No,
46,Intel,"$79,024 ","$59,156 ","$19,868 ",Yes,
47,Procter & Gamble,"$76,118 ","$61,812 ","$14,306 ",No,
48,General Electric,"$74,196 ","$80,716 ","($6,520)",Yes,
49,IBM,"$72,344 ","$66,601 ","$5,743 ",Yes,
50,MetLife,"$71,080 ","$64,526 ","$6,554 ",No,
51,Prudential Financial,"$70,934 ","$63,210 ","$7,724 ",No,
52,Albertsons,"$69,690.40 ","$68,840 ",$850.20 ,No,https://albertsonscompanies.com/home/default.aspx
53,Walt Disney,"$67,418 ","$65,423 ","$1,995 ",No,
54,Energy Transfer,"$67,417 ","$61,947 ","$5,470 ",No,
55,Lockheed Martin,"$67,044 ","$60,729 ","$6,315 ",Yes,
56,Freddie Mac,"$65,898 ","$53,789 ","$12,109 ",No,https://www.freddiemac.com/
57,Goldman Sachs Group,"$64,989 ","$43,354 ","$21,635 ",No,
58,Raytheon Technologies,"$64,388 ","$60,524 ","$3,864 ",Yes,
59,HP,"$63,487 ","$56,984 ","$6,503 ",Yes,
60,Boeing,"$62,286 ","$66,488 ","($4,202)",Yes,"Despite manufacturing planes, they focus on tech hardware and tech advancements"
61,Morgan Stanley,"$61,121 ","$46,087 ","$15,034 ",No,
62,HCA Healthcare,"$58,752 ","$51,796 ","$6,956 ",No,
63,AbbVie,"$56,197 ","$44,655 ","$11,542 ",No,https://www.abbvie.com/
64,Dow,"$54,968 ","$48,657 ","$6,311 ",No,
65,Tesla,"$53,823 ","$48,304 ","$5,519 ",Yes,"Despite manufacturing cars, they focus on the programing and tech compnent of teslas"
66,Allstate,"$53,228 ","$51,629 ","$1,599 ",No,
67,AIG,"$52,057 ","$42,669 ","$9,388 ",No,
68,Best Buy,"$51,761 ","$49,307 ","$2,454 ",No,
69,Charter Communications,"$51,682 ","$47,028 ","$4,654 ",Yes,https://www.spectrum.com/
70,Sysco,"$51,297.80 ","$50,774 ",$524.20 ,No,
71,Merck,"$51,216 ","$38,167 ","$13,049 ",No,
72,New York Life Insurance,"$51,198.50 ","$50,921 ",$277.10 ,No,
73,Caterpillar,"$50,971 ","$44,482 ","$6,489 ",No,
74,Cisco Systems,"$49,818 ","$39,227 ","$10,591 ",Yes,
75,TJX,"$48,550 ","$45,267 ","$3,282.80 ",No,https://www.tjx.com/
76,Publix Super Markets,"$48,393.90 ","$43,982 ","$4,412.20 ",No,https://www.publix.com/
77,ConocoPhillips,"$48,349 ","$40,270 ","$8,079 ",No,
78,Liberty Mutual Insurance Group,"$48,200 ","$45,132 ","$3,068 ",No,
79,Progressive,"$47,702 ","$44,351 ","$3,350.90 ",No,
80,Nationwide,"$47,376 ","$45,759 ","$1,617.20 ",No,
81,Tyson Foods,"$47,049 ","$44,002 ","$3,047 ",No,
82,Bristol-Myers Squibb,"$46,385 ","$39,391 ","$6,994 ",No,Pharma
83,Nike,"$44,538 ","$38,811 ","$5,727 ",No,
84,Deere,"$44,024 ","$38,061 ","$5,963 ",No,
85,American Express,"$43,663 ","$35,603 ","$8,060 ",No,
86,Abbott Laboratories,"$43,075 ","$36,004 ","$7,071 ",No,
87,StoneX Group,"$42,534.20 ","$42,418 ",$116.30 ,No,Finance
88,Plains GP Holdings,"$42,078 ","$42,018 ",$60 ,No,
89,Enterprise Products Partners,"$40,806.90 ","$36,169 ","$4,637.70 ",No,https://www.enterpriseproducts.com/
90,TIAA,"$40,526.40 ","$36,466 ","$4,060.70 ",No,https://www.tiaa.org/public
91,Oracle,"$40,479 ","$26,733 ","$13,746 ",Yes,
92,Thermo Fisher Scientific,"$39,211 ","$31,486 ","$7,725 ",Yes,https://www.thermofisher.com/us/en/home.html
93,Coca-Cola,"$38,655 ","$28,884 ","$9,771 ",No,
94,General Dynamics,"$38,469 ","$35,212 ","$3,257 ",No,https://www.gd.com/
95,CHS,"$38,448 ","$37,894 ",$554 ,No,
96,USAA,"$37,469.60 ","$34,170 ","$3,300 ",No,
97,Northwestern Mutual,"$36,751.20 ","$35,773 ",$977.80 ,No,
98,Nucor,"$36,483.90 ","$29,656 ","$6,827.50 ",No,
99,Exelon,"$36,347 ","$34,641 ","$1,706 ",No,
100,Massachusetts Mutual Life Insurance,"$35,899.50 ","$35,580 ",$319.30 ,No,
